runId,extensionVersion,startedAtMs,startedAtKst,finishedAtMs,finishedAtKst,finalState,eventCount,droppedCount,targetUrl,reservationDate,personCount,openAtMs,openAtKst,stopAtMs,stopAtKst,timeRangeStartMinutes,timeRangeEndMinutes,configJson,seq,code,severity,component,localAtMs,localAtKst,serverAtMs,serverAtKst,state,message,errorName,errorMessage,errorStack,attr.adjacentClickOk,attr.adjacentClickedAt,attr.adjacentDate,attr.adjacentOpenDeltaMs,attr.adjacentPlannedAt,attr.adjacentScheduleDriftMs,attr.adjacentScheduledServerAtMs,attr.adjacentTimingServerAtMs,attr.adjacentTogglePhase,attr.agreement,attr.arrivalAt,attr.arrivalToClickMs,attr.arrivalToDetectMs,attr.availableCount,attr.availableMinutes,attr.availableSlotCount,attr.bodyClassification,attr.bodyLeadOverDomMs,attr.bodyReadCompletedMonoMs,attr.bodySelectedMinutes,attr.bodySequence,attr.bodyToWakeMs,attr.bridgeDelayMs,attr.bridgeReceivedMonoMs,attr.bridgeToDomMs,attr.claimAgreement,attr.claimSource,attr.classification,attr.clickOk,attr.clockArmLeadMs,attr.clockClusterSeparationMs,attr.clockCompetingSupport,attr.clockConfidence,attr.clockDominantSupport,attr.clockMedianRttMs,attr.clockObservationSpanMs,attr.clockOffsetCenterMs,attr.clockOffsetLowerMs,attr.clockOffsetMs,attr.clockOffsetUpperMs,attr.clockP95RttMs,attr.clockPhase,attr.clockSampleCount,attr.clockSource,attr.clockUncertaintyMs,attr.correlationId,attr.correlationQuality,attr.cycle,attr.dialogButtons,attr.dialogCheckboxCount,attr.dialogDisabledButtonCount,attr.dialogLabel,attr.dialogQuantityControlCount,attr.dialogRadioCount,attr.dialogTitle,attr.dialogUrlKind,attr.dialogZeroDepositControlCount,attr.domMinutes,attr.domObservedMonoMs,attr.eventKind,attr.lastMutationMonoMs,attr.matchedSlotCount,attr.matchesTarget,attr.monoFromRunStartMs,attr.mutationGenerationAtDom,attr.mutationGenerationAtTargetClick,attr.mutationObservedAfterTarget,attr.openDeltaMs,attr.payloadClassifiedMonoMs,attr.personCount,attr.phase,attr.postSlotCertainty,attr.postSlotEvidence,attr.postSlotFingerprint,attr.postSlotStage,attr.postSlotStatus,attr.postSlotStrategy,attr.requestDate,attr.requestSentMonoMs,attr.requestSequence,attr.responseCompletedMonoMs,attr.responseStatus,attr.result,attr.selectedMinutes,attr.sequence,attr.slotLabel,attr.slotMinutes,attr.slotScanCount,attr.slotTransitionOutcome,attr.stale,attr.state,attr.targetClickOk,attr.targetClickedAt,attr.targetOpenDeltaMs,attr.targetPlannedAt,attr.targetResponseToDomMs,attr.targetScheduleDriftMs,attr.targetScheduledServerAtMs,attr.targetSelectedAt,attr.targetTimingServerAtMs,attr.targetTogglePhase,attr.timingServerAtMs,attr.timingStage,attr.wakeAccepted,attr.wakeAtMonoMs,attr.wakeCorrelationQuality,attr.wakeDiscardReason,attr.wakeFallbackUsed,attr.wakeRequestSequence,attr.wakeUsed,attr.watch,attr.xhrArrivalServerAtMs
run-ec3acf59-2e31-48c5-a558-b7dd184d7a01,0.2.0,"=""1784041127551""","=""2026-07-14 23:58:47.551""","=""1784041202829""","=""2026-07-15 00:00:02.829""",HANDED_OFF,36,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",1,RUN_STARTED,info,content,"=""1784041127551""","=""2026-07-14 23:58:47.551""",,,,실행 추적을 시작했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-ec3acf59-2e31-48c5-a558-b7dd184d7a01,0.2.0,"=""1784041127551""","=""2026-07-14 23:58:47.551""","=""1784041202829""","=""2026-07-15 00:00:02.829""",HANDED_OFF,36,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",2,STATE_CHANGED,trace,content,"=""1784041127552""","=""2026-07-14 23:58:47.552""",,,CONFIGURED,예약 설정을 불러왔습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIGURED,,,,,,,,,,,,,,,,,,,,,
run-ec3acf59-2e31-48c5-a558-b7dd184d7a01,0.2.0,"=""1784041127551""","=""2026-07-14 23:58:47.551""","=""1784041202829""","=""2026-07-15 00:00:02.829""",HANDED_OFF,36,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",3,STATE_CHANGED,trace,content,"=""1784041127552""","=""2026-07-14 23:58:47.552""",,,VALIDATING,예약 설정과 실행 조건을 검증합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VALIDATING,,,,,,,,,,,,,,,,,,,,,
run-ec3acf59-2e31-48c5-a558-b7dd184d7a01,0.2.0,"=""1784041127551""","=""2026-07-14 23:58:47.551""","=""1784041202829""","=""2026-07-15 00:00:02.829""",HANDED_OFF,36,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",4,STATE_CHANGED,trace,content,"=""1784041127552""","=""2026-07-14 23:58:47.552""",,,SYNCING_CLOCK,캐치테이블 서버 시계를 측정합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNCING_CLOCK,,,,,,,,,,,,,,,,,,,,,
run-ec3acf59-2e31-48c5-a558-b7dd184d7a01,0.2.0,"=""1784041127551""","=""2026-07-14 23:58:47.551""","=""1784041202829""","=""2026-07-15 00:00:02.829""",HANDED_OFF,36,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",5,CLOCK_SYNCED,trace,content,"=""1784041127796""","=""2026-07-14 23:58:47.796""","=""1784041128622.1501""","=""2026-07-14 23:58:48.622""",,서버 시계 보정을 완료했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,LOW,1,243.09999999962747,243.09999999962747,1784041126029.25,1784041125407.7,826,1784041126650.8,243.09999999962747,bootstrap,1,APP_HEAD_HTTP_DATE,621.550048828125,,,,,,,,,,,,,,,metric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-ec3acf59-2e31-48c5-a558-b7dd184d7a01,0.2.0,"=""1784041127551""","=""2026-07-14 23:58:47.551""","=""1784041202829""","=""2026-07-15 00:00:02.829""",HANDED_OFF,36,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",6,STATE_CHANGED,trace,content,"=""1784041127797""","=""2026-07-14 23:58:47.797""","=""1784041128622.6501""","=""2026-07-14 23:58:48.622""",ENTERING_RESERVATION,예약창 진입 상태를 확인합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTERING_RESERVATION,,,,,,,,,,,,,,,,,,,,,
run-ec3acf59-2e31-48c5-a558-b7dd184d7a01,0.2.0,"=""1784041127551""","=""2026-07-14 23:58:47.551""","=""1784041202829""","=""2026-07-15 00:00:02.829""",HANDED_OFF,36,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",7,ACTION_PERFORMED,trace,content,"=""1784041127811""","=""2026-07-14 23:58:47.811""","=""1784041128636.35""","=""2026-07-14 23:58:48.636""",,예약하기 버튼을 클릭했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-ec3acf59-2e31-48c5-a558-b7dd184d7a01,0.2.0,"=""1784041127551""","=""2026-07-14 23:58:47.551""","=""1784041202829""","=""2026-07-15 00:00:02.829""",HANDED_OFF,36,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",8,STATE_CHANGED,trace,content,"=""1784041128041""","=""2026-07-14 23:58:48.041""","=""1784041128866.35""","=""2026-07-14 23:58:48.866""",SELECTING_DATE,목표 월과 예약 날짜를 준비합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELECTING_DATE,,,,,,,,,,,,,,,,,,,,,
run-ec3acf59-2e31-48c5-a558-b7dd184d7a01,0.2.0,"=""1784041127551""","=""2026-07-14 23:58:47.551""","=""1784041202829""","=""2026-07-15 00:00:02.829""",HANDED_OFF,36,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",9,ACTION_PERFORMED,trace,content,"=""1784041128051""","=""2026-07-14 23:58:48.051""","=""1784041128876.75""","=""2026-07-14 23:58:48.876""",,2026-08-02 날짜를 선택했습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run-ec3acf59-2e31-48c5-a558-b7dd184d7a01,0.2.0,"=""1784041127551""","=""2026-07-14 23:58:47.551""","=""1784041202829""","=""2026-07-15 00:00:02.829""",HANDED_OFF,36,0,https://app.catchtable.co.kr/ct/shop/nuwa,2026-08-02,2,"=""1784041200000""","=""2026-07-15 00:00:00.000""","=""1784041800000""","=""2026-07-15 00:10:00.000""",1020,1200,"{""clockSampleCount"":9,""dryRun"":false,""entryMode"":""auto"",""menuKeyword"":"""",""openAtMs"":1784041200000,""paymentMethodAutoAdvance"":true,""paymentMethodPolicy"":""selected_allowed"",""personCount"":2,""postSlotEnabled"":true,""preOpenLeadMs"":200,""priorityTimes"":[],""reservationDate"":""2026-08-02"",""stopAtMs"":1784041800000,""tablePreference"":""any"",""targetUrl"":""https://app.catchtable.co.kr/ct/shop/nuwa"",""timeRange"":{""endMinutes"":1200,""startMinutes"":1020},""toggleIntervalMs"":100}",10,AVAILABILITY_SHADOW,trace,content,"=""1784041128120""","=""2026-07-14 23:58:48.120""","=""1784041128945.35""","=""2026-07-14 23:58:48.945""",SELECTING_DATE,슬롯 응답 shadow를 IRRELEVANT로 분류했습니다.,,,,,,,,,,,,,,,,,0,,,,,2902.0999999996275,,,0.40000000037252903,13.5,2915.5999999996275,,,none,IRRELEVANT,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,false,,,,,,2902.0999999996275,2,body,,,,,,,260715,2732.5,1,2902.0999999996275,0,,,1,,,,,false,,,,,,,,,,,,,,false,2916,,untrusted_quality,,,,,
